Blok M,106801479,-6243379
Masjid Agung,106798440,-6234918
Bundaran Senayan,106801716,-6227439
Gelora Bung Karno,106805773,-6224353
Polda Metro Jaya,106810613,-6220917
Bendungan Hilir,106815265,-6217142
Karet,106818558,-6214476
Setiabudi,106821215,-6210162
Dukuh Atas 1,106822259,-6204697
Tosari,106823117,-6198898
Bundaran HI,106823021,-6193677
Sarinah,106822996,-6187975
Bank Indonesia,106823078,-6186354
Monumen Nasional,106822920,-6175687
Harmoni,106820406,-6165750
Sawah Besar,106819266,-6160038
Mangga Besar,106817417,-6151985
Olimo,106816732,-6149213
Glodok,106815046,-6143096
Stasiun Kota,106814093,-6137954
Pulogadung,106909433,-6182302
Bermis,106898396,-6178280
Pulomas,106892666,-6174649
ASMI,106889089,-6171981
Pedongkelan,106882239,-6167790
Cempaka Timur,106876038,-6166546
RS Islam,106872673,-6167587
Cempaka Tengah,106870552,-6168574
Pasar Cempaka Putih,106866810,-6170301
Rawa Selatan,106862384,-6172382
Galur,106857919,-6173950
Senen,106842720,-6178130
Atrium Senen,106841526,-6177891
RSPAD,106836944,-6175395
Deplu,106834882,-6173550
Gambir 1,106830745,-6175445
Istiqlal,106830619,-6172515
Juanda,106830815,-6168061
Pecenongan,106828210,-6167924
Balai Kota,106827722,-6180206
Gambir 2,106831082,-6179593
Kwitang,106838504,-6181144
Kalideres,106706449,-6155123
Pesakih,106714834,-6155250
Sumur Bor,106719012,-6153074
Rawa Buaya,106730845,-6154850
Jembatan Baru,106733131,-6154802
Dispenda,106745588,-6155112
Jembatan Gantung,106754542,-6156157
Taman Kota,106757915,-6157133
Indosiar,106775497,-6163448
Jelambar,106786903,-6166605
Grogol 1,106789722,-6166808
RS Sumber Waras,106796897,-6166258
Pasar Baru,106835132,-6166685
Pasar Pulogadung,106905937,-6187367
TU Gas,106905082,-6192302
Layur,106898934,-6193533
Pemuda Rawamangun,106891647,-6193480
Velodrome,106888139,-6193458
Sunan Giri,106883776,-6193250
UNJ,106880199,-6192899
Pramuka BPKP,106874048,-6192141
Pramuka LIA,106868698,-6192232
Utan Kayu,106864635,-6192776
Pasar Genjing,106860957,-6194536
Matraman 2,106854399,-6199128
Manggarai,106847749,-6208903
Pasar Rumput,106841386,-6207132
Halimun,106833615,-6205117
Dukuh Atas 2,106823704,-6204291
Ancol,106831090,-6130689
Pademangan,106831712,-6133718
Gunung Sahari Mangga Dua,106832421,-6136791
Jembatan Merah,106834335,-6146813
Pasar Baru Timur,106838151,-6162265
Budi Utomo,106839087,-6166067
Senen Sentral,106842103,-6178082
